,location,alcohol
0,Belarus,17.5
1,Moldova,16.8
2,Lithuania,15.4
3,Russia,15.1
4,Romania,14.4
5,Ukraine,13.9
6,Andorra,13.8
7,Hungary,13.3
8,Czech Republic,13.0
9,Slovakia,13.0
10,Portugal,12.9
11,Serbia,12.6
12,Grenada,12.5
13,Poland,12.5
14,Latvia,12.3
15,Finland,12.3
16,South Korea,12.3
17,France,12.2
18,Australia,12.2
19,Croatia,12.2
20,Ireland,11.9
21,Luxembourg,11.9
22,Germany,11.8
23,Slovenia,11.6
24,United Kingdom,11.6
25,Denmark,11.4
26,Bulgaria,11.4
27,Spain,11.2
28,Belgium,11.0
29,South Africa,11.0
30,New Zealand,10.9
31,Gabon,10.9
32,Namibia,10.8
33,Switzerland,10.7
34,Saint Lucia,10.4
35,Austria,10.3
36,Estonia,10.3
37,Greece,10.3
38,Kazakhstan,10.3
39,Canada,10.2
40,Nigeria,10.1
41,Netherlands,9.9
42,Uganda,9.8
43,Rwanda,9.8
44,Chile,9.6
45,Argentina,9.3
46,Burundi,9.3
47,United States,9.2
48,Cyprus,9.2
49,Sweden,9.2
50,Venezuela,8.9
51,Paraguay,8.8
52,Brazil,8.7
53,Sierra Leone,8.7
54,Montenegro,8.7
55,Belize,8.5
56,Cameroon,8.4
57,Botswana,8.4
58,Saint Kitts and Nevis,8.2
59,Guyana,8.1
60,Peru,8.1
61,Panama,8.0
62,Niue,8.0
63,Palau,7.9
64,Norway,7.7
65,Tanzania,7.7
66,Georgia,7.7
67,Uruguay,7.6
68,Angola,7.5
69,Laos,7.3
70,Japan,7.2
71,Mexico,7.2
72,Ecuador,7.2
73,Dominica,7.1
74,Iceland,7.1
75,Thailand,7.1
76,Bosnia and Herzegovina,7.1
77,Sao Tome and Principe,7.1
78,Malta,7.0
79,Albania,7.0
80,Bahamas,6.9
81,Dominican Republic,6.9
82,Mongolia,6.9
83,Cape Verde,6.9
84,Barbados,6.8
85,Burkina Faso,6.8
86,Italy,6.7
87,Trinidad and Tobago,6.7
88,China,6.7
89,Macedonia,6.7
90,Saint Vincent and the Grenadines,6.6
91,Equatorial Guinea,6.6
92,Suriname,6.6
93,Vietnam,6.6
94,Lesotho,6.5
95,Haiti,6.4
96,Cook Islands,6.4
97,Colombia,6.2
98,Ivory Coast,6.0
99,Bolivia,5.9
100,Swaziland,5.7
101,Zimbabwe,5.7
102,Seychelles,5.6
103,Cambodia,5.5
104,Puerto Rico,5.4
105,Netherlands Antilles,5.4
106,Philippines,5.4
107,Costa Rica,5.4
108,Armenia,5.3
109,Cuba,5.2
110,Nicaragua,5.0
111,Jamaica,4.9
112,Ghana,4.8
113,Liberia,4.7
114,Uzbekistan,4.6
115,Chad,4.4
116,United Arab Emirates,4.3
117,Kyrgyzstan,4.3
118,India,4.3
119,Turkmenistan,4.3
120,Kenya,4.3
121,Ethiopia,4.2
122,Honduras,4.0
123,Guinea-Bissau,4.0
124,Zambia,4.0
125,Republic of the Congo,3.9
126,Guatemala,3.8
127,Central African Republic,3.8
128,North Korea,3.7
129,Sri Lanka,3.7
130,Mauritius,3.6
131,Samoa,3.6
132,Democratic Republic of the Congo,3.6
133,Nauru,3.5
134,Gambia,3.4
135,Federated States of Micronesia,3.3
136,El Salvador,3.2
137,Fiji,3.0
138,Papua New Guinea,3.0
139,Kiribati,3.0
140,Tajikistan,2.8
141,Israel,2.8
142,Sudan,2.7
143,Malawi,2.5
144,Lebanon,2.4
145,Azerbaijan,2.3
146,Mozambique,2.3
147,Togo,2.3
148,Nepal,2.2
149,Brunei,2.1
150,Benin,2.1
151,Singapore,2.0
152,Turkey,2.0
153,Madagascar,1.8
154,Solomon Islands,1.7
155,Tonga,1.6
156,Tunisia,1.5
157,Tuvalu,1.5
158,Qatar,1.5
159,Vanuatu,1.4
160,Djibouti,1.3
161,Malaysia,1.3
162,Syria,1.2
163,Maldives,1.2
164,Mali,1.1
165,Eritrea,1.1
166,Algeria,1.0
167,Iran,1.0
168,Oman,0.9
169,Brunei,0.9
170,Morocco,0.9
171,Jordan,0.7
172,Bhutan,0.7
173,Guinea,0.7
174,Burma,0.7
175,Afghanistan,0.7
176,Senegal,0.6
177,Indonesia,0.6
178,Timor-Leste,0.6
179,Iraq,0.5
180,Somalia,0.5
181,Egypt,0.4
182,Niger,0.3
183,Yemen,0.3
184,Comoros,0.2
185,Saudi Arabia,0.2
186,Bangladesh,0.2
187,Kuwait,0.1
188,Libya,0.1
189,Mauritania,0.1
190,Pakistan,0.1
